group	colour	fill	tooltip
40	#000000	#FFF1EC	5 combos with Area under both=1.8, Prop. predictions in finite interval=0.375 for size 1
41	#000000	#FFE3D8	10 combos with Area under both=1.8, Prop. predictions in finite interval=0.5 for size 1
42	#000000	#FFE3D8	10 combos with Area under both=1.8, Prop. predictions in finite interval=0.625 for size 1
43	#000000	#FFF1EC	5 combos with Area under both=1.8, Prop. predictions in finite interval=0.75 for size 1
44	#000000	#FFFCFB	1 combos with Area under both=1.8, Prop. predictions in finite interval=0.875 for size 1
45	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Prop. predictions in finite interval=0.25 for size 1
46	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Prop. predictions in finite interval=0.375 for size 1
47	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Prop. predictions in finite interval=0.5 for size 1
48	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Prop. predictions in finite interval=0.625 for size 1
49	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Prop. predictions in finite interval=0.75 for size 1
50	#000000	#FFFCFB	1 combos with Area under both=2.2, Prop. predictions in finite interval=0.25 for size 1
51	#000000	#FFEEE8	6 combos with Area under both=2.2, Prop. predictions in finite interval=0.375 for size 1
52	#000000	#FFE3D8	10 combos with Area under both=2.2, Prop. predictions in finite interval=0.5 for size 1
53	#000000	#FFE3D8	10 combos with Area under both=2.2, Prop. predictions in finite interval=0.625 for size 1
54	#000000	#FFF1EC	5 combos with Area under both=2.2, Prop. predictions in finite interval=0.75 for size 1
55	#000000	#FFFCFB	1 combos with Area under both=2.2, Prop. predictions in finite interval=0.875 for size 1
56	#FFFFFF	#FFFFFF	0 combos with Area under both=2.4, Prop. predictions in finite interval=0.375 for size 1
57	#000000	#FFF6F3	3 combos with Area under both=2.4, Prop. predictions in finite interval=0.5 for size 1
58	#000000	#FFF6F3	3 combos with Area under both=2.4, Prop. predictions in finite interval=0.625 for size 1
59	#000000	#FFFCFB	1 combos with Area under both=2.4, Prop. predictions in finite interval=0.75 for size 1
60	#FFFFFF	#FFFFFF	0 combos with Area under both=2.4, Prop. predictions in finite interval=0.875 for size 1
61	#000000	#FFF9F7	2 combos with Area under both=2.6, Prop. predictions in finite interval=0.5 for size 1
62	#000000	#FFEBE4	7 combos with Area under both=2.6, Prop. predictions in finite interval=0.625 for size 1
63	#000000	#FFE5DC	9 combos with Area under both=2.6, Prop. predictions in finite interval=0.75 for size 1
64	#000000	#FFF1EC	5 combos with Area under both=2.6, Prop. predictions in finite interval=0.875 for size 1
