x	y	key	clickSelects	PANEL
2.4	0.3333	round.aum round.auc 2.4 0.3333	round.aum round.auc 2.4 0.3333	4
2.4	0.4167	round.aum round.auc 2.4 0.4167	round.aum round.auc 2.4 0.4167	4
2.4	0.5	round.aum round.auc 2.4 0.5	round.aum round.auc 2.4 0.5	4
2.4	0.5833	round.aum round.auc 2.4 0.5833	round.aum round.auc 2.4 0.5833	4
2.4	0.6667	round.aum round.auc 2.4 0.6667	round.aum round.auc 2.4 0.6667	4
2.4	0.75	round.aum round.auc 2.4 0.75	round.aum round.auc 2.4 0.75	4
2.4	0.8333	round.aum round.auc 2.4 0.8333	round.aum round.auc 2.4 0.8333	4
2.6	0.1667	round.aum round.auc 2.6 0.1667	round.aum round.auc 2.6 0.1667	4
2.6	0.25	round.aum round.auc 2.6 0.25	round.aum round.auc 2.6 0.25	4
2.6	0.3333	round.aum round.auc 2.6 0.3333	round.aum round.auc 2.6 0.3333	4
2.6	0.4167	round.aum round.auc 2.6 0.4167	round.aum round.auc 2.6 0.4167	4
2.6	0.5	round.aum round.auc 2.6 0.5	round.aum round.auc 2.6 0.5	4
2.6	0.5833	round.aum round.auc 2.6 0.5833	round.aum round.auc 2.6 0.5833	4
2.6	0.6667	round.aum round.auc 2.6 0.6667	round.aum round.auc 2.6 0.6667	4
